Postinumero-kunta-avain (vuoden 2021 aluejako);;;;;;;;;;;;;;;;;;
Huom! Postinumeroalueen kunta on määritelty sen mukaan, minkä kunnan puolella suurin osa postinumeroalueen pinta-alasta sijaitsee.;;;;;;;;;;;;;;;;;;
Postinumeroalue;Postinumeroalueen nimi;Postinumeroalueen nimi (sv);Kunta;Kunnan nimi;Kuntaryhmä;Kuntaryhmän nimi;Seutukunta;Seutukunnan nimi;Maakunta;Maakunnan nimi;Suuralue;Suuralueen nimi;AVI;AVI:n nimi;ELY;ELY:n nimi;Sairaanhoitopiiri;Sairaanhoitopiirin nimi
00850;Jollas;Jollas;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00860;Santahamina;Sandhamn;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00870;Etelä-Laajasalo;Södra Degerö;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00880;Roihupellon teollisuusalue;Kasåkerns industriområde;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00890;Östersundom;Östersundom;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00900;Puotinharju;Botbyhöjden;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00910;Puotila;Botby gård;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00920;Myllypuro;Kvarnbäcken;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00930;Itäkeskus-Marjaniemi;Östra centrum-Marudd;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00940;Kontula - Vesala;Gårdsbacka - Ärvings;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00950;Vartioharju;Botbyåsen;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00960;Pohjois-Vuosaari;Norra  Nordsjö;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00970;Mellunmäki;Mellungsbacka;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00980;Etelä-Vuosaari;Södra Nordsjö;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
00990;Aurinkolahti;Solvik;091;Helsinki;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
01120;Västerskog;Västerskog;753;Sipoo;2;Taajaan asutut kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
01150;Söderkulla;Söderkulla;753;Sipoo;2;Taajaan asutut kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
01180;Kalkkiranta;Kalkstrand;753;Sipoo;2;Taajaan asutut kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
01190;Box;Box;753;Sipoo;2;Taajaan asutut kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
01200;Hakunila;Håkansböle;092;Vantaa;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
01230;Vaarala;Fagersta;092;Vantaa;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
01260;Itä-Hakkila;Östra Haxböle;092;Vantaa;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
01280;Länsimäki;Västerkulla;092;Vantaa;1;Kaupunkimaiset kunnat;011;Helsingin seutukunta;01;Uusimaa;1;Helsinki-Uusimaa;1;Etelä-Suomen AVI;01;Uudenmaan ELY-keskus;25;Helsingin ja Uudenmaan SHP
